epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,444.593,2.09314,4.23414,7.66112,0.02138,1.11039,0.03263,0.23804,0.02216,0.00804,0.02808,0.14244,0.00939,0.00231,1.25569,2.5677,5.57434,0.01351,0,0.0099929,0.00333097,0.0099929,0.00333097,0.0099929,0.00333097,0.0099929,0.00333097
2,856.151,2.11514,3.91994,3.98507,0.02104,0.28684,0.58664,0.00902,0.00588,0.00145,0.0327,0.07107,0.00422,0.00094,1.39995,2.93578,6.69311,0.01586,0,0.019597,0.00653235,0.019597,0.00653235,0.019597,0.00653235,0.019597,0.00653235
3,1257.52,2.19786,4.03898,4.06589,0.02257,0.28844,0.20539,0.08609,0.02712,0.0081,0.17455,0.0372,0.01224,0.00289,1.33921,2.56186,3.54295,0.01504,0,0.0288052,0.00960173,0.0288052,0.00960173,0.0288052,0.00960173,0.0288052,0.00960173
4,1657.15,2.24689,4.10449,4.15126,0.02309,0.29043,0.44315,0.03117,0.02815,0.00901,0.44247,0.02944,0.01665,0.00497,1.31913,2.47678,2.91621,0.01471,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2054.58,2.1946,3.94561,3.96405,0.02217,0.28574,0.46936,0.03989,0.04151,0.01557,0.4651,0.03323,0.02995,0.00876,1.28368,2.34638,3.24565,0.01392,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2454.02,2.11518,3.82637,3.81336,0.02142,0.28566,0.19997,0.18766,0.05484,0.01943,0.0134,0.25696,0.02917,0.00825,1.22511,2.3152,3.66962,0.01308,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2851.36,2.10468,3.75785,3.65053,0.02104,0.28545,0.53197,0.092,0.09648,0.03556,0.52171,0.07217,0.05546,0.01605,1.19062,2.27828,2.40878,0.01272,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3253.44,2.06765,3.72367,3.6158,0.02075,0.27834,0.52751,0.07384,0.0742,0.02904,0.40737,0.0564,0.04456,0.01389,1.1763,2.2162,2.17126,0.01273,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3704.57,2.04385,3.63784,3.4981,0.02061,0.26728,0.65935,0.10463,0.08147,0.0292,0.66169,0.07062,0.05419,0.01675,1.19335,2.23099,2.24873,0.01291,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,4116.19,2.01678,3.58439,3.4396,0.02009,0.26605,0.69919,0.11138,0.10722,0.04053,0.69253,0.08438,0.07439,0.02401,1.1375,2.15007,2.76941,0.01205,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,4536.36,2.01928,3.5709,3.40577,0.02024,0.26357,0.54619,0.14122,0.11904,0.04616,0.513,0.1073,0.07732,0.02377,1.16544,2.15854,2.37944,0.0124,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,4945.54,1.97889,3.47402,3.3393,0.01984,0.26233,0.67354,0.11522,0.11286,0.04564,0.51726,0.09361,0.0686,0.02336,1.14659,2.14407,2.5371,0.01206,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,5355.73,1.98058,3.47608,3.29646,0.01953,0.25695,0.51829,0.12014,0.13284,0.05181,0.44987,0.09962,0.08074,0.02803,1.1448,2.13149,2.53584,0.01215,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,5766.31,1.96042,3.44601,3.29519,0.0194,0.25324,0.4955,0.1193,0.12737,0.05181,0.44517,0.09302,0.08229,0.0268,1.145,2.1105,2.16987,0.01212,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,6184.09,1.96066,3.43477,3.22486,0.01948,0.25262,0.63318,0.14119,0.13576,0.05063,0.59866,0.10806,0.10011,0.03262,1.12971,2.09136,2.74921,0.0119,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
