epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,803.731,1.97448,4.1466,16.9774,0.01987,1.03739,0.02224,0.21815,0.02733,0.00942,0.01407,0.13087,0.01525,0.00352,1.25571,2.56287,6.25632,0.01353,0,0.00999645,0.00333215,0.00999645,0.00333215,0.00999645,0.00333215,0.00999645,0.00333215
2,1530.43,1.94275,3.87523,8.169,0.01919,0.29946,0.49638,0.0511,0.03445,0.0127,0.52293,0.04331,0.01746,0.005,1.22391,2.45937,5.24638,0.01353,0,0.0196005,0.00653351,0.0196005,0.00653351,0.0196005,0.00653351,0.0196005,0.00653351
3,2247.61,2.02951,3.94824,8.25328,0.02053,0.30147,0.07957,0.32296,0.02979,0.01179,0.00504,0.20357,0.01071,0.0029,1.26256,2.46565,5.32363,0.01358,0,0.0288086,0.00960286,0.0288086,0.00960286,0.0288086,0.00960286,0.0288086,0.00960286
4,2961.4,2.12781,4.02734,8.33186,0.02139,0.29861,0.00636,0.33954,0.03023,0.01034,0.00423,0.24583,0.0141,0.0037,1.22083,2.38721,5.87732,0.01314,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3700.25,2.06099,3.90554,7.95945,0.02034,0.29874,0.19422,0.19662,0.05824,0.02241,0.30005,0.10731,0.03096,0.00936,1.18919,2.31193,4.89788,0.01283,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,4405.55,2.00589,3.77355,7.59795,0.01967,0.29398,0.18537,0.15016,0.04918,0.01907,0.17487,0.11985,0.02748,0.00821,1.16026,2.26107,4.63362,0.01236,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,5123.84,1.98566,3.70503,7.39253,0.01946,0.2953,0.47492,0.09049,0.06486,0.02374,0.45719,0.06819,0.0355,0.00964,1.13496,2.21438,4.78773,0.01195,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,5842.34,1.93195,3.59509,7.17598,0.01874,0.2938,0.36074,0.07897,0.06321,0.02345,0.35431,0.05876,0.03637,0.01022,1.16815,2.23252,4.58048,0.01217,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,6556.95,1.92108,3.54109,7.08201,0.01864,0.28522,0.6428,0.05663,0.0742,0.02937,0.63748,0.04281,0.04556,0.01366,1.13587,2.17055,4.37512,0.01182,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,7275.33,1.91064,3.51768,6.99371,0.01835,0.28487,0.55064,0.08952,0.08888,0.03652,0.52551,0.08027,0.05748,0.01849,1.13307,2.16662,4.3418,0.0118,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,7992.85,1.90468,3.46439,6.83526,0.01822,0.28035,0.68146,0.08436,0.08639,0.03352,0.65043,0.05713,0.05332,0.0178,1.1321,2.14836,4.12519,0.01179,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,8725.71,1.90421,3.47206,6.84189,0.01806,0.27886,0.66384,0.10546,0.09247,0.03612,0.64742,0.07097,0.05799,0.0172,1.1085,2.10229,4.09398,0.01151,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,9433.88,1.86093,3.40972,6.71398,0.01754,0.27848,0.48182,0.10327,0.10035,0.0421,0.65566,0.05234,0.06663,0.02127,1.10078,2.08839,4.02558,0.01119,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,10146.5,1.89645,3.38715,6.52952,0.01797,0.26839,0.69154,0.12102,0.11766,0.04705,0.67115,0.0898,0.0768,0.02338,1.10686,2.09103,3.87122,0.01129,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,10861,1.85102,3.35686,6.48831,0.01772,0.2686,0.72367,0.11676,0.1113,0.04529,0.66793,0.06631,0.08051,0.02605,1.08224,2.05612,3.93431,0.01106,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,11576.9,1.86312,3.31922,6.42177,0.01776,0.26408,0.67778,0.14055,0.13259,0.06194,0.66079,0.1044,0.09213,0.03278,1.06753,2.02645,3.86686,0.01097,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,12291.4,1.82903,3.29626,6.30319,0.01712,0.26164,0.68171,0.13272,0.13708,0.05713,0.65974,0.10076,0.08766,0.03041,1.09303,2.03029,3.66327,0.01117,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
